"","x"
"1",12897.9429861729
"2",9825.43414961358
"3",7287.26315054745
"4",4247.63405309887
"5",3986.9218353375
"6",1268.12213193456
"7",102.072977852331
"8",69.7459219799292
"9",11.2529462041057
